stage,run_name,model,seq_len,include_metadata,test_auc,test_bce,test_accuracy,test_f1
Phase 1 small,small_sanity_global_question,sanity,20,False,0.6991613073402437,0.5861499598182127,0.6973919753086419,0.8038609652413103
Phase 1 small,small_mlp_seq20,mlp,20,True,0.7107772579527156,0.5744066789704059,0.7027469135802469,0.7988218828985023
Phase 1 small,small_mlp_seq50,mlp,50,True,0.714057785043183,0.572233782335083,0.7045987654320988,0.8002087464774031
Phase 1 small,small_gru_dkt_seq50_agg,gru,50,True,0.6952911828075007,0.5884915740718104,0.6998611111111112,0.7988207913110938
Phase 1 small,small_gru_seq20,gru,20,True,0.7027883461924953,0.5812907381512681,0.7033796296296296,0.8019005019221453
Phase 1 small,small_gru_seq20_agg,gru,20,True,0.6993188414515081,0.5836667690331377,0.6985030864197531,0.7912245268703448
Phase 1 small,small_gru_seq50,gru,50,True,0.7083606078072155,0.5792013713528368,0.7032098765432099,0.7961372935614492
Phase 1 small,small_gru_seq50_agg_reg,gru,50,True,0.6846815705859022,0.5877822381155688,0.695462962962963,0.8009401226597805
Phase 2 5k,phase2_5k_sanity_global_question,sanity,20,False,0.7026322188309593,0.5898339415971567,0.6871606837479184,0.7886953100567958
Phase 2 5k,phase2_5k_mlp_seq50,mlp,50,True,0.7240331221082617,0.5755954130940301,0.698586353419113,0.7884014511292385
Phase 2 5k,phase2_5k_gru_seq50,gru,50,True,0.7328748804716378,0.5705726211911184,0.7037764451978582,0.7852436561689595
Phase 2 10k,phase2_10k_sanity_global_question,sanity,20,False,0.7129900095416442,0.575986961015181,0.7003588762047986,0.7971315316315976
Phase 2 10k,phase2_10k_mlp_seq50,mlp,50,True,0.7397921629705388,0.5569965541600842,0.7125880101168911,0.798388856255769
Phase 2 10k,phase2_10k_gru_seq50,gru,50,True,0.7513364196912656,0.548246411790484,0.720162006972452,0.8041075799300889
Phase 3 10k,phase3_10k_gru_seq100,gru,100,True,0.7543387614372277,0.5460971657495246,0.7212215462437623,0.8047025583928935
Phase 3 10k,phase3_10k_gru_seq20,gru,20,True,0.7445546979386701,0.5534283402940064,0.7167988242531957,0.8016241827014008
Phase 3 10k,phase3_10k_gru_seq50_no_metadata,gru,50,False,0.7506606282453168,0.5490789664256253,0.7189144849271994,0.8011297686295752
